Date,Value
08-05-05,1
08-05-05,5.4
08-05-05,1.6
09-05-05,3.9
09-05-05,-4.7
09-05-05,3.4
09-05-05,4.1
10-05-05,-5.4
10-05-05,8.6
10-05-05,1
10-05-05,6.8
11-05-05,3.8
11-05-05,-4.4
11-05-05,2
11-05-05,0.3
12-05-05,0.1
12-05-05,4.5
12-05-05,2.4
12-05-05,5.8
13-05-05,11.5
13-05-05,-2.9
13-05-05,1.5
13-05-05,2.4
14-05-05,2.1
14-05-05,-7
14-05-05,14.8
14-05-05,-14
15-05-05,8.6
15-05-05,-0.1
15-05-05,3.4
15-05-05,1.1
16-05-05,-13.3
16-05-05,17.7
16-05-05,-0.8
16-05-05,5.9
17-05-05,-3.7
17-05-05,6.8
17-05-05,1
17-05-05,-1.8
18-05-05,4.5
18-05-05,-0.7
18-05-05,1.4
18-05-05,-0.5
19-05-05,-1.6
19-05-05,0.2
19-05-05,6.4
19-05-05,-3.5
20-05-05,3
20-05-05,5.7
20-05-05,-7.4
20-05-05,4
21-05-05,4.6
21-05-05,6.3
21-05-05,7.5
21-05-05,-1
22-05-05,4.4
22-05-05,-1.2
22-05-05,3.9
22-05-05,3.8
23-05-05,0.5
23-05-05,6.3
23-05-05,2.7
23-05-05,9
24-05-05,-0.2
24-05-05,2.1
24-05-05,6.3
24-05-05,4.2
25-05-05,0
25-05-05,5.6
25-05-05,2.6
25-05-05,7.7
26-05-05,12.8
26-05-05,-5.8
26-05-05,-2.9
26-05-05,4.5
27-05-05,-15.4
27-05-05,12.8
27-05-05,0.8
27-05-05,-2.1
28-05-05,-0.6
28-05-05,2.1
28-05-05,-0.7
28-05-05,16.4
