state,Total,age_0_5,age_5_17,age_18_greater,Pincodes_Count,Enrollment_Per_Pincode
Uttar Pradesh,51178,24514,26210,454,1658,31.0
Bihar,29772,13146,16413,213,870,34.0
Madhya Pradesh,29342,21629,7496,217,735,40.0
Rajasthan,25267,17183,7978,106,945,27.0
West Bengal,24443,18595,5592,256,1196,20.0
Jharkhand,24290,14619,9574,97,354,69.0
Assam,20720,14657,5791,272,558,37.0
Maharashtra,20108,14468,5494,146,1396,14.0
Delhi,18806,13984,4475,347,93,202.0
Haryana,17676,16134,1454,88,299,59.0
Chhattisgarh,17394,14290,2950,154,260,67.0
Gujarat,16202,11863,3986,353,930,17.0
Odisha,15767,12548,3205,14,871,18.0
Tamil Nadu,15076,12709,2350,17,1855,8.0
Telangana,14274,11502,2718,54,627,23.0
Punjab,13118,11292,1722,104,506,26.0
Jammu and Kashmir,11823,9626,2173,24,196,60.0
Karnataka,11410,9561,1637,212,1184,10.0
Uttarakhand,10956,9223,1704,29,282,39.0
Meghalaya,9539,2086,4747,2706,67,142.0
Andhra Pradesh,7955,6881,976,98,1402,6.0
Kerala,7739,5459,2205,75,1269,6.0
Himachal Pradesh,4753,4476,253,24,415,11.0
Manipur,3385,1361,1992,32,53,64.0
Tripura,3121,2027,1072,22,82,38.0
Nagaland,2734,745,1811,178,42,65.0
Arunachal Pradesh,1774,886,882,6,50,35.0
Mizoram,1218,870,311,37,47,26.0
Goa,872,693,105,74,79,11.0
Chandigarh,856,776,79,1,22,39.0
Sikkim,737,349,367,21,22,34.0
Puducherry,604,552,42,10,34,18.0
Dadra and Nagar Haveli,359,322,36,1,4,90.0
Ladakh,175,124,46,5,11,16.0
Andaman and Nicobar Islands,145,133,12,0,20,7.0
Lakshadweep,64,60,4,0,8,8.0
Daman and Diu,29,25,4,0,6,5.0
