Country Name,Year,Net Internet Users
United Arab Emirates,2010,68
United Arab Emirates,2011,78
United Arab Emirates,2012,85
United Arab Emirates,2013,88
United Arab Emirates,2014,90.4
United Arab Emirates,2015,90.5
United Arab Emirates,2016,90.6
United Arab Emirates,2017,94.8
United Arab Emirates,2018,98.4
United Arab Emirates,2019,99.1
United Arab Emirates,2020,100
Australia,2010,76
Australia,2011,79.4
Australia,2012,79
Australia,2013,83.4
Australia,2014,84
Australia,2015,84.5
Australia,2016,86.5
Australia,2017,86.5
Australia,2018,90
Australia,2019,93.6
Australia,2020,94.6
Canada,2010,80.3
Canada,2011,83
Canada,2012,83
Canada,2013,85.8
Canada,2014,87.1
Canada,2015,90
Canada,2016,91.1
Canada,2017,92.7
Canada,2018,94.6
Canada,2019,91.9
Canada,2020,92
China,2010,34.3
China,2011,38.3
China,2012,42.3
China,2013,45.8
China,2014,47.9
China,2015,50.3
China,2016,53.2
China,2017,54.3
China,2018,59.2
China,2019,64
China,2020,70
United Kingdom,2010,85
United Kingdom,2011,85.3
United Kingdom,2012,87.4
United Kingdom,2013,89.8
United Kingdom,2014,91.6
United Kingdom,2015,92
United Kingdom,2016,94.7
United Kingdom,2017,90.4
United Kingdom,2018,90.6
United Kingdom,2019,92.5
United Kingdom,2020,94.8
India,2010,7.5
India,2011,10.7
India,2012,11.1
India,2013,12.3
India,2014,13.5
India,2015,14.9
India,2016,16.5
India,2017,18.2
India,2018,20
India,2019,29.5
India,2020,43.4
United States,2010,71.69
United States,2011,69.7
United States,2012,74.7
United States,2013,71.4
United States,2014,73
United States,2015,74.5
United States,2016,85.5
United States,2017,87.2
United States,2018,88.4
United States,2019,89.4
United States,2020,90.3
World,2010,28.4
World,2011,30.9
World,2012,33.3
World,2013,35.3
World,2014,37.4
World,2015,39.9
World,2016,43.6
World,2017,46.3
World,2018,49.4
World,2019,53.9
World,2020,90.1
